backend,aggregation,seed,n_test_pairs,n_eval_pos,n_eval_neg,roc_auc,pr_auc,score_mean,score_std
cosine,topk_mean,5051,18,12,12,0.6666666666666667,0.7252073158323158,0.9883256728450457,0.005428575714230852
cosine,topk_mean,6067,18,12,12,0.6875,0.6653326205957785,0.9846090426047643,0.015121449147909133
cosine,topk_mean,7079,18,12,12,0.8472222222222223,0.9023989898989899,0.9881100207567215,0.0044249965748690955
cosine,softmax_weighted,123,18,12,12,0.798611111111111,0.8392179851738675,0.9608938246965408,0.018360183864355194
cosine,softmax_weighted,456,18,12,12,0.5972222222222221,0.6462967587967587,0.9633334502577782,0.014506545839214506
cosine,softmax_weighted,789,18,12,12,0.6875,0.7135126379611674,0.9632829998930296,0.013992056666881504
cosine,softmax_weighted,1011,18,12,12,0.8472222222222222,0.8820213351463351,0.9564957022666931,0.02370863120537511
cosine,softmax_weighted,2024,18,12,12,0.7152777777777778,0.7938672438672438,0.9539099708199501,0.03462931427421553
cosine,softmax_weighted,3031,18,12,12,0.7708333333333334,0.7706505099168143,0.9616254816452662,0.021242244238123417
cosine,softmax_weighted,4049,18,12,12,0.7777777777777778,0.8141967924862662,0.96086385846138,0.023512651080894318
cosine,softmax_weighted,5051,18,12,12,0.5625,0.6464656870906871,0.9672145619988441,0.013465317641092035
cosine,softmax_weighted,6067,18,12,12,0.6597222222222223,0.7017648956793694,0.9541997611522675,0.03411483951062818
cosine,softmax_weighted,7079,18,12,12,0.8194444444444444,0.8647884794943618,0.9664388398329417,0.012423339206017204
