method,seed,n_test_pairs,n_eval_pos,n_eval_neg,roc_auc,pr_auc,score_mean,score_std
dtw_cosine_max_path,6067,18,12,12,0.6666666666666667,0.639556277056277,0.9862981413801511,0.014150864939160273
dtw_cosine_max_path,7079,18,12,12,0.7916666666666666,0.8259201446701446,0.9884675691525141,0.004702930959338825
banded_diagonal_mean,123,18,12,12,0.7916666666666667,0.8049407707302444,0.9535332967837652,0.022732921793359454
banded_diagonal_mean,456,18,12,12,0.6180555555555556,0.6660428691678693,0.9533485745390257,0.02164624401449062
banded_diagonal_mean,789,18,12,12,0.7708333333333334,0.8047805143199879,0.9554037203391393,0.020775700984661014
banded_diagonal_mean,1011,18,12,12,0.8472222222222222,0.8777447089947089,0.9494780227541924,0.03076097863095063
banded_diagonal_mean,2024,18,12,12,0.7708333333333334,0.845817254640784,0.9431791106859843,0.04402705535602397
banded_diagonal_mean,3031,18,12,12,0.7430555555555555,0.8036752670224537,0.950203557809194,0.026835676389362417
banded_diagonal_mean,4049,18,12,12,0.7569444444444444,0.7801768571076351,0.9542216484745344,0.02770122792319158
banded_diagonal_mean,5051,18,12,12,0.6319444444444444,0.714929514929515,0.955295334259669,0.023875213198102384
banded_diagonal_mean,6067,18,12,12,0.6944444444444444,0.7057537642096465,0.9471028571327528,0.035941099688855095
banded_diagonal_mean,7079,18,12,12,0.7986111111111112,0.8376250862663905,0.9559020896752676,0.01811496739675315
banded_diagonal_max,123,18,12,12,0.8333333333333333,0.8756146903205727,0.9873275061448415,0.007408365323364413
banded_diagonal_max,456,18,12,12,0.8055555555555556,0.8517316017316017,0.9867382422089577,0.006334141942938133
banded_diagonal_max,789,18,12,12,0.6180555555555556,0.6757439685071264,0.9896397615472475,0.005217662320500281
banded_diagonal_max,1011,18,12,12,0.8055555555555556,0.8587151274651275,0.9850774357716242,0.012045628441103257
banded_diagonal_max,2024,18,12,12,0.6944444444444445,0.7624188311688311,0.9844605301817259,0.016682757120729787
banded_diagonal_max,3031,18,12,12,0.763888888888889,0.8268025754438798,0.9887069463729858,0.006562485873638483
banded_diagonal_max,4049,18,12,12,0.6041666666666666,0.6641956161263941,0.9894857083757719,0.006029027218401442
banded_diagonal_max,5051,18,12,12,0.6944444444444444,0.7437540400775695,0.9889451265335083,0.005883571898656319
banded_diagonal_max,6067,18,12,12,0.6666666666666667,0.6458713671948966,0.9857533300916353,0.014277480936350527
banded_diagonal_max,7079,18,12,12,0.75,0.8018244418979714,0.988285206258297,0.004947961213955598
