dim,feature_group,mean_score_drop
385,MERT,-0.0013375959
386,MERT,-4.610624e-05
387,MERT,-0.00015939082
388,MERT,0.001447391
389,MERT,-0.001213645
390,MERT,0.00042853766
391,MERT,0.0004896626
392,MERT,0.00017389022
393,MERT,0.0023746444
394,MERT,0.00021424665
395,MERT,2.4984964e-05
396,MERT,0.0005351817
397,MERT,-0.00019006114
398,MERT,5.370062e-05
399,MERT,-0.0016445743
400,MERT,-0.00021745692
401,MERT,-0.00018133168
402,MERT,-4.059337e-05
403,MERT,6.0462953e-05
404,MERT,-0.0012487697
405,MERT,-0.0009824473
406,MERT,-0.0005398408
407,MERT,0.00028866026
408,MERT,1.5680305e-05
409,MERT,-0.00048349146
410,MERT,-0.00040534922
411,MERT,0.00040157774
412,MERT,0.00012903157
413,MERT,-0.00021045897
414,MERT,-0.0008954912
415,MERT,-0.00058416073
416,MERT,7.139519e-05
417,MERT,8.764285e-05
418,MERT,-0.00043522418
419,MERT,0.0004395565
420,MERT,-0.003397498
421,MERT,0.00040506534
422,MERT,0.00011387169
423,MERT,-0.00038032196
424,MERT,3.375821e-05
425,MERT,-0.0005260788
426,MERT,-1.7328002e-05
427,MERT,-0.00024324469
428,MERT,-0.00023737867
429,MERT,0.00016832631
430,MERT,-0.00015740152
431,MERT,-0.0009904787
432,MERT,3.0883217e-05
433,MERT,0.00026230252
434,MERT,0.00044678542
435,MERT,0.00026232898
436,MERT,-1.872126e-05
437,MERT,0.0019030252
438,MERT,-0.0012557702
439,MERT,-0.0006588809
440,MERT,0.0005525568
441,MERT,-0.0004921248
442,MERT,0.00037952606
443,MERT,0.00074126816
444,MERT,0.00027781556
445,MERT,0.0002216002
446,MERT,-0.0004633829
447,MERT,0.00017548222
448,MERT,-4.3835862e-05
449,MERT,-0.00027611124
450,MERT,-2.5638194e-05
451,MERT,0.00015253034
452,MERT,-0.0015913857
453,MERT,-0.0007609542
454,MERT,0.00091794285
455,MERT,0.00058581494
456,MERT,-0.0009627398
457,MERT,-0.0003143819
458,MERT,0.008522797
